"REFSEQ","ENSEMBL","SYMBOL"
"NM_014423","ENSG00000072364","AFF4"
"NM_001103167","ENSG00000220201","ZGLP1"
"NM_018397","ENSG00000016391","CHDH"
"NR_106859","ENSG00000274380","MIR6801"
"NM_133458","ENSG00000184939","ZFP90"
"NM_001080424","ENSG00000132510","KDM6B"
"NM_001271816","ENSG00000198924","DCLRE1A"
"NR_073417","ENSG00000128040","SPINK2"
"NR_033323","ENSG00000106133","NSUN5P2"
"NM_014879","ENSG00000174944","P2RY14"
"NM_006918","ENSG00000109929","SC5D"
"NM_001145318","ENSG00000149636","DSN1"
"NR_109942","ENSG00000229522","LINC01523"
"NR_135665","ENSG00000261136","LOC105370941"
"NM_001135914","ENSG00000135253","KCP"
"NM_170679","ENSG00000113558","SKP1"
"NM_001318781","ENSG00000163638","ADAMTS9"
"NM_004698","ENSG00000117360","PRPF3"
"NM_017554","ENSG00000173193","PARP14"
"NM_015603","ENSG00000105321","CCDC9"
"NR_136640","ENSG00000237732","LOC440934"
"NM_002144","ENSG00000120094","HOXB1"
"NR_102367","ENSG00000149809","TM7SF2"
"NM_001282763","ENSG00000091527","CDV3"
"NM_005663","ENSG00000185049","NELFA"
"NM_153213","ENSG00000142632","ARHGEF19"
"NM_002559","ENSG00000109991","P2RX3"
"NR_038194","ENSG00000205636","LINC00583"
"NM_015902","ENSG00000104517","UBR5"
"NR_024111","ENSG00000225648","SBDSP1"
"NM_001042529","ENSG00000068120","COASY"
"NM_001039569","ENSG00000152056","AP1S3"
"NM_001025205","ENSG00000161203","AP2M1"
"NM_001004351","ENSG00000214300","SPDYE3"
"NR_134896","ENSG00000114956","DGUOK"
"NM_020940","ENSG00000151553","FAM160B1"
"NM_001146685","ENSG00000205116","TMEM88B"
"NM_002886","ENSG00000181467","RAP2B"
"NM_031415","ENSG00000147697","GSDMC"
"NM_018147","ENSG00000158234","FAIM"
"NM_001079528","ENSG00000091262","ABCC6"
"NM_001014442","ENSG00000205861","PCOTH"
"NM_001199723","ENSG00000143320","CRABP2"
"NR_135262","ENSG00000125462","C1orf61"
"NM_052889","ENSG00000204397","CARD16"
"NR_028409","ENSG00000187012","LINC00207"
"NR_108042","ENSG00000235407","CYMP-AS1"
"NM_001320878","ENSG00000196228","SULT1C3"
"NM_032860","ENSG00000135521","LTV1"
"NM_001330343","ENSG00000111732","AICDA"
"NM_001308203","ENSG00000118473","SGIP1"
"NM_147150","ENSG00000157654","PALM2-AKAP2"
"NM_001144070","ENSG00000108846","ABCC3"
"NM_001136266","ENSG00000183283","DAZAP2"
"NM_003820","ENSG00000157873","TNFRSF14"
"NM_001282797","ENSG00000147789","ZNF7"
"NM_003060","ENSG00000197375","SLC22A5"
"NM_001258","ENSG00000250506","CDK3"
"NR_002948","ENSG00000197588","KLKP1"
"NM_002732","ENSG00000165059","PRKACG"
"NM_024771","ENSG00000110583","NAA40"
"NM_001099405","ENSG00000183873","SCN5A"
"NM_003559","ENSG00000276293","PIP4K2B"
"NM_000386","ENSG00000108578","BLMH"
"NR_110409","ENSG00000237208","LOC101928495"
"NM_030791","ENSG00000126821","SGPP1"
"NR_029628","ENSG00000207590","MIR215"
"NM_030760","ENSG00000180739","S1PR5"
"NM_182704","ENSG00000186838","SELENOV"
"NM_001168239","ENSG00000143322","ABL2"
"NM_001284514","ENSG00000161405","IKZF3"
"NM_001320219","ENSG00000163714","U2SURP"
"NR_030383","ENSG00000207574","MIR661"
"NM_001278313","ENSG00000188487","INSC"
"NM_001330589","ENSG00000157184","CPT2"
"NM_033253","ENSG00000185013","NT5C1B"
"NM_000743","ENSG00000080644","CHRNA3"
"NM_017481","ENSG00000175520","UBQLN3"
"NM_021216","ENSG00000197951","ZNF71"
"NM_003906","ENSG00000160294","MCM3AP"
"NM_001024599","ENSG00000203814","HIST2H2BF"
"NM_001320766","ENSG00000198862","LTN1"
"NM_001322375","ENSG00000218739","CEBPZOS"
"NR_033369","ENSG00000237119","LINC01056"
"NR_125383","ENSG00000254842","LINC02551"
"NR_105004","ENSG00000253455","LOC101929217"
"NM_022101","ENSG00000018610","CXorf56"
"NR_130931","ENSG00000232164","LINC01873"
"NM_001278196","ENSG00000179456","ZBTB18"
"NR_031716","ENSG00000269782","MIR1470"
"NM_019084","ENSG00000107443","CCNJ"
